priority,cluster,layer,page_type,template_family,url,live_status,robots,canonical,index_gate,gate_reason,google_action,bing_indexnow_action,notes
11,Answer-ready service pages,Base2026 CTPH layer,ctph_proof,source-backed-ai-visibility-template,https://aggressorbulkit.online/knowledge/ai-ready-business-documentation-for-service-pages/,200,"index,follow",https://aggressorbulkit.online/knowledge/ai-ready-business-documentation-for-service-pages/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
12,Local business AI visibility,Base2026 CTPH layer,ctph_proof,source-backed-ai-visibility-template,https://aggressorbulkit.online/knowledge/review-sentiment-and-ai-visibility-for-local-businesses/,200,"index,follow",https://aggressorbulkit.online/knowledge/review-sentiment-and-ai-visibility-for-local-businesses/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
13,AI visibility proof,Base2026 CTPH layer,ctph_proof,source-backed-ai-visibility-template,https://aggressorbulkit.online/knowledge/measuring-ai-visibility-without-query-click-data/,200,"index,follow",https://aggressorbulkit.online/knowledge/measuring-ai-visibility-without-query-click-data/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
14,Base2026 core proof,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/apply-research.html,200,"index,follow",https://aggressorbulkit.online/knowledge/apply-research.html,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
15,Base2026 core proof,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/api.html,200,"index,follow",https://aggressorbulkit.online/knowledge/api.html,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
16,Entity trust / source intelligence,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/methodology.html,200,"index,follow",https://aggressorbulkit.online/knowledge/methodology.html,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
17,Base2026 core proof,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/analytics.html,200,"index,follow",https://aggressorbulkit.online/knowledge/analytics.html,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
18,Base2026 core proof,Base2026 proof layer,topic_hub,topic-index-template,https://aggressorbulkit.online/knowledge/topics/,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
19,Base2026 core proof,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/creators/,200,"index,follow",https://aggressorbulkit.online/knowledge/creators/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
20,Entity trust / source intelligence,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/source-policy.html,200,"index,follow",https://aggressorbulkit.online/knowledge/source-policy.html,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
21,AI visibility proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/ai-citations.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/ai-citations.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
22,AI visibility proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/ai-citation-tracking.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/ai-citation-tracking.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
23,Base2026 core proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/answer-first-content.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/answer-first-content.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
24,AI visibility proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/brand-proof-pages.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/brand-proof-pages.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
25,Base2026 core proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/content-freshness.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/content-freshness.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
26,AI visibility proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/ai-knowledge-base.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/ai-knowledge-base.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
27,Technical SEO / GEO foundation,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/schema-ai-citations.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/schema-ai-citations.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
28,Technical SEO / GEO foundation,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/search-console-low-hanging-fruit.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/search-console-low-hanging-fruit.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
29,Technical SEO / GEO foundation,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/internal-linking.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/internal-linking.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
30,Base2026 core proof,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/risk-avoid-scaled-content-abuse.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/risk-avoid-scaled-content-abuse.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
31,Local business AI visibility,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/local-seo-google-business-profile.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/local-seo-google-business-profile.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
32,Local business AI visibility,Base2026 proof layer,topic_proof,topic-evidence-template,https://aggressorbulkit.online/knowledge/topics/google-business-profile.html,200,"index,follow",https://aggressorbulkit.online/knowledge/topics/google-business-profile.html,pass,eligible,GSC after hubs,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
33,Entity trust / source intelligence,Base2026 proof layer,source_evidence,source-record-template,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7512265578388737322.html,200,"index,follow",https://aggressorbulkit.online/knowledge/sources/tiktok-video-7512265578388737322.html,pass,eligible,GSC inspect only if supporting a money/proof page,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
34,Entity trust / source intelligence,Base2026 proof layer,source_evidence,source-record-template,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7394990033972809002.html,200,"index,follow",https://aggressorbulkit.online/knowledge/sources/tiktok-video-7394990033972809002.html,pass,eligible,GSC inspect only if supporting a money/proof page,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
35,Entity trust / source intelligence,Base2026 proof layer,source_evidence,source-record-template,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649531548655521038.html,200,"index,follow",https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649531548655521038.html,pass,eligible,GSC inspect only if supporting a money/proof page,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
36,Entity trust / source intelligence,Base2026 proof layer,source_evidence,source-record-template,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7509080977575136534.html,200,"index,follow",https://aggressorbulkit.online/knowledge/sources/tiktok-video-7509080977575136534.html,pass,eligible,GSC inspect only if supporting a money/proof page,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
37,Entity trust / source intelligence,Base2026 proof layer,source_evidence,source-record-template,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7390067814838619438.html,200,"index,follow",https://aggressorbulkit.online/knowledge/sources/tiktok-video-7390067814838619438.html,pass,eligible,GSC inspect only if supporting a money/proof page,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
38,Entity trust / source intelligence,Base2026 proof layer,source_evidence,source-record-template,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652384458804432136.html,200,"index,follow",https://aggressorbulkit.online/knowledge/sources/tiktok-video-7652384458804432136.html,pass,eligible,GSC inspect only if supporting a money/proof page,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
